8/19/2004,49.676899,51.693783,47.669952,49.845802,44994500
8/20/2004,50.178635,54.187561,49.925285,53.80505,23005800
8/23/2004,55.017166,56.373344,54.172661,54.346527,18393200
8/24/2004,55.260582,55.439419,51.450363,52.096165,15361800
8/25/2004,52.140873,53.651051,51.604362,52.657513,9257400
8/26/2004,52.135906,53.626213,51.991844,53.606342,7148200
8/27/2004,53.700729,53.959049,52.503513,52.732029,6258300
8/30/2004,52.299839,52.40416,50.675404,50.675404,5235700
8/31/2004,50.819469,51.519913,50.74992,50.85424,4954800
9/1/2004,51.018177,51.152302,49.512966,49.80109,9206800
9/2/2004,49.274517,50.85424,49.150326,50.427021,15232100
9/3/2004,50.14883,50.541279,49.339096,49.681866,5191000
9/7/2004,50.178635,50.670437,49.483158,50.461796,5891300
9/8/2004,50.04451,51.18211,49.925285,50.819469,5023000
9/9/2004,50.933723,51.023144,50.173668,50.824436,4092100
9/10/2004,50.471729,52.935703,50.322701,52.324677,8764200
9/13/2004,52.970478,53.854729,52.886028,53.402668,7902900
9/14/2004,53.377831,55.638126,53.049961,55.384777,10910200
9/15/2004,54.922779,56.745922,54.743942,55.638126,10793500
9/16/2004,55.80703,57.525848,55.46426,56.616764,9335800
9/17/2004,56.840309,58.365391,56.408119,58.365391,9543500
9/20/2004,58.097134,60.407108,58.007717,59.294346,10708500
9/21/2004,59.517895,59.820923,58.375324,58.539257,7282900
9/22/2004,58.320679,59.448345,58.027588,58.807514,7638000
9/23/2004,59.036026,60.918781,58.131908,60.01963,8599600
9/24/2004,60.079243,61.649033,59.493053,59.527828,9191900
9/27/2004,59.3937,60.049435,58.519386,58.747902,7119100
9/28/2004,60.25808,63.288372,59.716602,63.020115,17056100
9/29/2004,62.940632,67.073753,62.70715,65.116478,30745600
9/30/2004,64.530296,65.722542,64.083199,64.381264,13861300
10/1/2004,64.977386,66.686272,64.033524,65.861633,15238400
10/4/2004,67.188004,67.992775,66.581947,67.09362,13120500
10/5/2004,66.894913,68.817406,65.692734,68.737923,15085500
10/6/2004,68.330574,68.777664,67.560585,68.097092,13481800
10/7/2004,68.017609,69.488045,67.833809,68.976372,14221000
10/8/2004,68.911797,69.388695,68.067291,68.419991,11152500
10/11/2004,68.05735,68.981346,66.492531,67.192978,10550700
10/12/2004,66.785622,68.360382,66.268982,68.256058,11753000
10/13/2004,71.19693,71.311188,69.587402,69.994751,19914500
10/14/2004,70.049393,70.729973,68.832314,70.541199,10520500
10/15/2004,71.996727,72.279892,70.516357,71.589378,13293800
10/18/2004,71.137321,74.117935,70.14875,74.098061,14141700
10/19/2004,74.763733,75.707596,73.198914,73.492004,18245900
10/20/2004,73.536713,74.013611,69.348953,69.791077,22893300
10/21/2004,71.733444,74.579933,70.352425,74.207352,29368600
10/22/2004,84.718987,89.502869,81.509857,85.657875,74263500
10/25/2004,87.630051,96.5868,85.717491,93.094513,65954500
10/26/2004,92.567932,95.697578,89.418419,90.312607,44904300
10/27/2004,90.76963,94.147659,90.297699,92.384132,26886700
10/28/2004,92.736839,96.566925,92.200325,96.025444,29886600
10/29/2004,98.802383,99.328964,94.684174,94.704041,42600200
11/1/2004,96.149643,98.196327,95.017006,97.38163,24608700
11/2/2004,98.747742,98.981224,96.045319,96.805374,22840000
11/3/2004,98.449677,100.148628,94.758682,95.215714,27957900
11/4/2004,93.611153,94.584816,91.082596,91.753235,29006600
11/5/2004,90.402023,90.560989,83.730415,84.127831,39924100
11/8/2004,84.912727,87.153152,84.152664,85.717491,22529100
11/9/2004,86.48748,87.033928,82.101013,83.804932,22272300
